action,advpnsc,assignip,cookies,date,desc,dir,dst_host,duration,error_num,espauth,esptransform,eventtime,exch,fctuid,group,in_spi,init,level,locip,locport,logdesc,logid,mode,msg,nextstat,out_spi,outintf,peer_notif,phase2_name,rcvdbyte,reason,remip,remport,result,role,sentbyte,seq,spi,srccountry,stage,status,subtype,time,tunnelid,tunnelip,tunneltype,type,tz,user,useralt,vd,version,vpntunnel,xauthgroup,xauthuser
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721549425767552111,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,2.57.149.109,,,,,,,Russian Federation,,,vpn,09:10:25,0,,ssl,event,+0100,N/A,,root,,,,
tunnel-stats,0,N/A,6411abcc6216f739/9d1911ba747ed135,2024-07-21,,,,497395,,,,1721549325571262987,,N/A,N/A,,,notice,41.106.128.162,4500,IPsec tunnel statistics,0101037141,,IPsec tunnel statistics,600,,port6,,,454713400,,41.111.161.37,14514,,,544491934,,,Algeria,,,vpn,09:08:45,790370705,N/A,ipsec,event,+0100,192.168.1.122,N/A,root,,DG,N/A,N/A
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721549248150872036,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,2.57.149.109,,,,,,,Russian Federation,,,vpn,09:07:28,0,,ssl,event,+0100,N/A,,root,,,,
ssl-login-fail,,,,2024-07-21,,,N/A,,,,,1721549248150754250,,,N/A,,,alert,,,SSL VPN login fail,0101039426,,SSL user failed to logged in,,,,,,,sslvpn_login_unknown_user,2.57.149.109,,,,,,,Russian Federation,,,vpn,09:07:28,0,,ssl-web,event,+0100,bo-chan,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721549244707546360,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,2.57.149.109,,,,,,,Russian Federation,,,vpn,09:07:24,0,,ssl,event,+0100,N/A,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721549244326656609,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,2.57.149.109,,,,,,,Russian Federation,,,vpn,09:07:24,0,,ssl,event,+0100,N/A,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721549115555955356,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,2.57.149.109,,,,,,,Russian Federation,,,vpn,09:05:15,0,,ssl,event,+0100,N/A,,root,,,,
ssl-login-fail,,,,2024-07-21,,,N/A,,,,,1721549115555848165,,,N/A,,,alert,,,SSL VPN login fail,0101039426,,SSL user failed to logged in,,,,,,,sslvpn_login_unknown_user,2.57.149.109,,,,,,,Russian Federation,,,vpn,09:05:15,0,,ssl-web,event,+0100,okudak777,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721549114883482234,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,2.57.149.109,,,,,,,Russian Federation,,,vpn,09:05:14,0,,ssl,event,+0100,N/A,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721549114226075575,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,2.57.149.109,,,,,,,Russian Federation,,,vpn,09:05:14,0,,ssl,event,+0100,N/A,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721549109542783425,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,2.57.149.109,,,,,,,Russian Federation,,,vpn,09:05:09,0,,ssl,event,+0100,N/A,,root,,,,
ssl-login-fail,,,,2024-07-21,,,N/A,,,,,1721549109542629083,,,N/A,,,alert,,,SSL VPN login fail,0101039426,,SSL user failed to logged in,,,,,,,sslvpn_login_unknown_user,2.57.149.109,,,,,,,Russian Federation,,,vpn,09:05:09,0,,ssl-web,event,+0100,tote,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721549108573432212,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,2.57.149.109,,,,,,,Russian Federation,,,vpn,09:05:08,0,,ssl,event,+0100,N/A,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721549108160166553,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,2.57.149.109,,,,,,,Russian Federation,,,vpn,09:05:08,0,,ssl,event,+0100,N/A,,root,,,,
negotiate,0,N/A,0ea3cce7b52da88d/0000000000000000,2024-07-21,,inbound,,,,,,1721548977347487546,SA_INIT,N/A,N/A,,remote,error,41.106.128.163,500,Progress IPsec phase 1,0101037128,,progress IPsec phase 1,,,port6,,,,,100.29.192.107,41244,ERROR,responder,,,,United States,,failure,vpn,09:02:57,,,,event,+0100,N/A,N/A,root,IKEv2,N/A,N/A,N/A
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721548910212690519,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,2.57.149.109,,,,,,,Russian Federation,,,vpn,09:01:50,0,,ssl,event,+0100,N/A,,root,,,,
ssl-login-fail,,,,2024-07-21,,,N/A,,,,,1721548910212539588,,,N/A,,,alert,,,SSL VPN login fail,0101039426,,SSL user failed to logged in,,,,,,,sslvpn_login_unknown_user,2.57.149.109,,,,,,,Russian Federation,,,vpn,09:01:50,0,,ssl-web,event,+0100,going-my-way.risa-lovelydays,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721548909812393019,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,2.57.149.109,,,,,,,Russian Federation,,,vpn,09:01:49,0,,ssl,event,+0100,N/A,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721548909006802125,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,2.57.149.109,,,,,,,Russian Federation,,,vpn,09:01:49,0,,ssl,event,+0100,N/A,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721548845863445224,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,2.57.149.109,,,,,,,Russian Federation,,,vpn,09:00:45,0,,ssl,event,+0100,N/A,,root,,,,
ssl-login-fail,,,,2024-07-21,,,N/A,,,,,1721548845863341143,,,N/A,,,alert,,,SSL VPN login fail,0101039426,,SSL user failed to logged in,,,,,,,sslvpn_login_unknown_user,2.57.149.109,,,,,,,Russian Federation,,,vpn,09:00:45,0,,ssl-web,event,+0100,shohimi,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721548842312931292,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,2.57.149.109,,,,,,,Russian Federation,,,vpn,09:00:42,0,,ssl,event,+0100,N/A,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721548841961306696,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,2.57.149.109,,,,,,,Russian Federation,,,vpn,09:00:41,0,,ssl,event,+0100,N/A,,root,,,,
tunnel-stats,0,N/A,6411abcc6216f739/9d1911ba747ed135,2024-07-21,,,,496795,,,,1721548725562226356,,N/A,N/A,,,notice,41.106.128.162,4500,IPsec tunnel statistics,0101037141,,IPsec tunnel statistics,600,,port6,,,451948904,,41.111.161.37,14514,,,540214726,,,Algeria,,,vpn,08:58:45,790370705,N/A,ipsec,event,+0100,192.168.1.122,N/A,root,,DG,N/A,N/A
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721548651457054403,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,2.57.149.109,,,,,,,Russian Federation,,,vpn,08:57:31,0,,ssl,event,+0100,N/A,,root,,,,
ssl-login-fail,,,,2024-07-21,,,N/A,,,,,1721548651456939321,,,N/A,,,alert,,,SSL VPN login fail,0101039426,,SSL user failed to logged in,,,,,,,sslvpn_login_unknown_user,2.57.149.109,,,,,,,Russian Federation,,,vpn,08:57:31,0,,ssl-web,event,+0100,pdmr94164,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721548651092298937,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,2.57.149.109,,,,,,,Russian Federation,,,vpn,08:57:31,0,,ssl,event,+0100,N/A,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721548650653203200,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,2.57.149.109,,,,,,,Russian Federation,,,vpn,08:57:30,0,,ssl,event,+0100,N/A,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721548515456191305,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,2.57.149.109,,,,,,,Russian Federation,,,vpn,08:55:15,0,,ssl,event,+0100,N/A,,root,,,,
ssl-login-fail,,,,2024-07-21,,,N/A,,,,,1721548515456079200,,,N/A,,,alert,,,SSL VPN login fail,0101039426,,SSL user failed to logged in,,,,,,,sslvpn_login_unknown_user,2.57.149.109,,,,,,,Russian Federation,,,vpn,08:55:15,0,,ssl-web,event,+0100,tbreuer,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721548515021496481,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,2.57.149.109,,,,,,,Russian Federation,,,vpn,08:55:15,0,,ssl,event,+0100,N/A,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721548514578610014,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,2.57.149.109,,,,,,,Russian Federation,,,vpn,08:55:14,0,,ssl,event,+0100,N/A,,root,,,,
tunnel-stats,0,N/A,6411abcc6216f739/9d1911ba747ed135,2024-07-21,,,,496195,,,,1721548125566401462,,N/A,N/A,,,notice,41.106.128.162,4500,IPsec tunnel statistics,0101037141,,IPsec tunnel statistics,600,,port6,,,450807720,,41.111.161.37,14514,,,537112329,,,Algeria,,,vpn,08:48:45,790370705,N/A,ipsec,event,+0100,192.168.1.122,N/A,root,,DG,N/A,N/A
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721547935829365548,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,2.57.149.109,,,,,,,Russian Federation,,,vpn,08:45:35,0,,ssl,event,+0100,N/A,,root,,,,
ssl-login-fail,,,,2024-07-21,,,N/A,,,,,1721547935829210425,,,N/A,,,alert,,,SSL VPN login fail,0101039426,,SSL user failed to logged in,,,,,,,sslvpn_login_unknown_user,2.57.149.109,,,,,,,Russian Federation,,,vpn,08:45:35,0,,ssl-web,event,+0100,knewbold,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721547935396824277,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,2.57.149.109,,,,,,,Russian Federation,,,vpn,08:45:35,0,,ssl,event,+0100,N/A,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721547935022947097,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,2.57.149.109,,,,,,,Russian Federation,,,vpn,08:45:35,0,,ssl,event,+0100,N/A,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721547864432048671,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,2.57.149.109,,,,,,,Russian Federation,,,vpn,08:44:24,0,,ssl,event,+0100,N/A,,root,,,,
ssl-login-fail,,,,2024-07-21,,,N/A,,,,,1721547864431935406,,,N/A,,,alert,,,SSL VPN login fail,0101039426,,SSL user failed to logged in,,,,,,,sslvpn_login_unknown_user,2.57.149.109,,,,,,,Russian Federation,,,vpn,08:44:24,0,,ssl-web,event,+0100,commercial1,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721547860975868148,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,2.57.149.109,,,,,,,Russian Federation,,,vpn,08:44:21,0,,ssl,event,+0100,N/A,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721547860560498395,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,2.57.149.109,,,,,,,Russian Federation,,,vpn,08:44:20,0,,ssl,event,+0100,N/A,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721547756112833500,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,2.57.149.109,,,,,,,Russian Federation,,,vpn,08:42:36,0,,ssl,event,+0100,N/A,,root,,,,
ssl-login-fail,,,,2024-07-21,,,N/A,,,,,1721547756112725443,,,N/A,,,alert,,,SSL VPN login fail,0101039426,,SSL user failed to logged in,,,,,,,sslvpn_login_unknown_user,2.57.149.109,,,,,,,Russian Federation,,,vpn,08:42:36,0,,ssl-web,event,+0100,plus-et-plus,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721547755182340066,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,2.57.149.109,,,,,,,Russian Federation,,,vpn,08:42:35,0,,ssl,event,+0100,N/A,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721547754825382238,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,2.57.149.109,,,,,,,Russian Federation,,,vpn,08:42:34,0,,ssl,event,+0100,N/A,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721547709716708904,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,2.57.149.109,,,,,,,Russian Federation,,,vpn,08:41:49,0,,ssl,event,+0100,N/A,,root,,,,
ssl-login-fail,,,,2024-07-21,,,N/A,,,,,1721547709716596096,,,N/A,,,alert,,,SSL VPN login fail,0101039426,,SSL user failed to logged in,,,,,,,sslvpn_login_unknown_user,2.57.149.109,,,,,,,Russian Federation,,,vpn,08:41:49,0,,ssl-web,event,+0100,seiken,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721547706233052686,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,2.57.149.109,,,,,,,Russian Federation,,,vpn,08:41:46,0,,ssl,event,+0100,N/A,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721547705848856453,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,2.57.149.109,,,,,,,Russian Federation,,,vpn,08:41:45,0,,ssl,event,+0100,N/A,,root,,,,
tunnel-stats,0,N/A,6411abcc6216f739/9d1911ba747ed135,2024-07-21,,,,495595,,,,1721547525565214513,,N/A,N/A,,,notice,41.106.128.162,4500,IPsec tunnel statistics,0101037141,,IPsec tunnel statistics,600,,port6,,,449602200,,41.111.161.37,14514,,,534181540,,,Algeria,,,vpn,08:38:45,790370705,N/A,ipsec,event,+0100,192.168.1.122,N/A,root,,DG,N/A,N/A
negotiate,0,N/A,3e35c70729dfedef/0000000000000000,2024-07-21,,inbound,,,,,,1721547109111640430,,N/A,N/A,,remote,error,41.106.128.164,500,Progress IPsec phase 1,0101037128,main,progress IPsec phase 1,,,port6,,,,,184.105.139.104,27719,ERROR,responder,,,,United States,1,failure,vpn,08:31:49,,,,event,+0100,N/A,N/A,root,,N/A,N/A,N/A
negotiate,0,N/A,3e35c70729dfedef/0000000000000000,2024-07-21,,,,,,,,1721547109111629283,,N/A,N/A,,,error,41.106.128.164,500,IPsec phase 1 error,0101037124,,IPsec phase 1 error,,,port6,NOT-APPLICABLE,,,peer SA proposal not match local policy,184.105.139.104,27719,,,,,,,,negotiate_error,vpn,08:31:49,,,,event,+0100,N/A,N/A,root,,N/A,N/A,N/A
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721546994586717324,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,2.57.149.109,,,,,,,Russian Federation,,,vpn,08:29:54,0,,ssl,event,+0100,N/A,,root,,,,
ssl-login-fail,,,,2024-07-21,,,N/A,,,,,1721546994586609704,,,N/A,,,alert,,,SSL VPN login fail,0101039426,,SSL user failed to logged in,,,,,,,sslvpn_login_unknown_user,2.57.149.109,,,,,,,Russian Federation,,,vpn,08:29:54,0,,ssl-web,event,+0100,aim.rse,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721546994240895583,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,2.57.149.109,,,,,,,Russian Federation,,,vpn,08:29:54,0,,ssl,event,+0100,N/A,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721546993828977304,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,2.57.149.109,,,,,,,Russian Federation,,,vpn,08:29:53,0,,ssl,event,+0100,N/A,,root,,,,
tunnel-stats,0,N/A,6411abcc6216f739/9d1911ba747ed135,2024-07-21,,,,494995,,,,1721546925566423255,,N/A,N/A,,,notice,41.106.128.162,4500,IPsec tunnel statistics,0101037141,,IPsec tunnel statistics,600,,port6,,,447306760,,41.111.161.37,14514,,,530786573,,,Algeria,,,vpn,08:28:45,790370705,N/A,ipsec,event,+0100,192.168.1.122,N/A,root,,DG,N/A,N/A
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721546910554853122,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,2.57.149.109,,,,,,,Russian Federation,,,vpn,08:28:30,0,,ssl,event,+0100,N/A,,root,,,,
ssl-login-fail,,,,2024-07-21,,,N/A,,,,,1721546910554733468,,,N/A,,,alert,,,SSL VPN login fail,0101039426,,SSL user failed to logged in,,,,,,,sslvpn_login_unknown_user,2.57.149.109,,,,,,,Russian Federation,,,vpn,08:28:30,0,,ssl-web,event,+0100,kris,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721546910129746933,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,2.57.149.109,,,,,,,Russian Federation,,,vpn,08:28:30,0,,ssl,event,+0100,N/A,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721546909781141050,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,2.57.149.109,,,,,,,Russian Federation,,,vpn,08:28:29,0,,ssl,event,+0100,N/A,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721546800174869264,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,2.57.149.109,,,,,,,Russian Federation,,,vpn,08:26:40,0,,ssl,event,+0100,N/A,,root,,,,
ssl-login-fail,,,,2024-07-21,,,N/A,,,,,1721546800174756696,,,N/A,,,alert,,,SSL VPN login fail,0101039426,,SSL user failed to logged in,,,,,,,sslvpn_login_unknown_user,2.57.149.109,,,,,,,Russian Federation,,,vpn,08:26:40,0,,ssl-web,event,+0100,hiroko.fujita,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721546799795650588,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,2.57.149.109,,,,,,,Russian Federation,,,vpn,08:26:39,0,,ssl,event,+0100,N/A,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721546799400250276,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,2.57.149.109,,,,,,,Russian Federation,,,vpn,08:26:39,0,,ssl,event,+0100,N/A,,root,,,,
tunnel-stats,0,N/A,6411abcc6216f739/9d1911ba747ed135,2024-07-21,,,,494395,,,,1721546325562487402,,N/A,N/A,,,notice,41.106.128.162,4500,IPsec tunnel statistics,0101037141,,IPsec tunnel statistics,600,,port6,,,446718296,,41.111.161.37,14514,,,530191070,,,Algeria,,,vpn,08:18:45,790370705,N/A,ipsec,event,+0100,192.168.1.122,N/A,root,,DG,N/A,N/A
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721545988817920266,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,105.105.234.200,,,,,,,Algeria,,,vpn,08:13:08,0,,ssl,event,+0100,N/A,,root,,,,
ssl-login-fail,,,,2024-07-21,,,N/A,,,,,1721545968449775533,,,N/A,,,alert,,,SSL VPN login fail,0101039426,,SSL user failed to logged in,,,,,,,sslvpn_login_unknown_user,105.105.234.200,,,,,,,Algeria,,,vpn,08:12:48,0,,ssl-web,event,+0100,SAV BATNA,,root,,,,
ssl-new-con,,,,2024-07-21,,,N/A,,,,,1721545967734593039,,N/A,N/A,,,information,,,SSL VPN new connection,0101039943,,SSL new connection,,,,,,,N/A,105.105.234.200,,,,,,,Algeria,,,vpn,08:12:47,0,,ssl,event,+0100,N/A,,root,,,,
ssl-exit-error,,,,2024-07-21,,,N/A,,,,,1721545964498304025,,N/A,N/A,,,error,,,SSL VPN exit error,0101039946,,SSL exit error,,,,,,,N/A,105.105.234.200,,,,,,,Algeria,,,vpn,08:12:44,0,,ssl,event,+0100,N/A,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721545935874912332,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,2.57.149.109,,,,,,,Russian Federation,,,vpn,08:12:16,0,,ssl,event,+0100,N/A,,root,,,,
ssl-login-fail,,,,2024-07-21,,,N/A,,,,,1721545935874789120,,,N/A,,,alert,,,SSL VPN login fail,0101039426,,SSL user failed to logged in,,,,,,,sslvpn_login_unknown_user,2.57.149.109,,,,,,,Russian Federation,,,vpn,08:12:15,0,,ssl-web,event,+0100,hzh,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721545935459614579,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,2.57.149.109,,,,,,,Russian Federation,,,vpn,08:12:15,0,,ssl,event,+0100,N/A,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721545934233215983,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,2.57.149.109,,,,,,,Russian Federation,,,vpn,08:12:14,0,,ssl,event,+0100,N/A,,root,,,,
negotiate,0,N/A,3e35c70729dfedef/0000000000000000,2024-07-21,,inbound,,,,,,1721545814192314023,,N/A,N/A,,remote,error,41.106.128.162,500,Progress IPsec phase 1,0101037128,main,progress IPsec phase 1,,,port6,,,,,184.105.139.112,65235,ERROR,responder,,,,United States,1,failure,vpn,08:10:14,,,,event,+0100,N/A,N/A,root,,N/A,N/A,N/A
negotiate,0,N/A,3e35c70729dfedef/0000000000000000,2024-07-21,,,,,,,,1721545814192304073,,N/A,N/A,,,error,41.106.128.162,500,IPsec phase 1 error,0101037124,,IPsec phase 1 error,,,port6,NOT-APPLICABLE,,,peer SA proposal not match local policy,184.105.139.112,65235,,,,,,,,negotiate_error,vpn,08:10:14,,,,event,+0100,N/A,N/A,root,,N/A,N/A,N/A
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721545768187148121,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,2.57.149.109,,,,,,,Russian Federation,,,vpn,08:09:28,0,,ssl,event,+0100,N/A,,root,,,,
ssl-login-fail,,,,2024-07-21,,,N/A,,,,,1721545768187032073,,,N/A,,,alert,,,SSL VPN login fail,0101039426,,SSL user failed to logged in,,,,,,,sslvpn_login_unknown_user,2.57.149.109,,,,,,,Russian Federation,,,vpn,08:09:28,0,,ssl-web,event,+0100,stefanos,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721545767391863212,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,2.57.149.109,,,,,,,Russian Federation,,,vpn,08:09:27,0,,ssl,event,+0100,N/A,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721545767019867466,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,2.57.149.109,,,,,,,Russian Federation,,,vpn,08:09:27,0,,ssl,event,+0100,N/A,,root,,,,
tunnel-stats,0,N/A,6411abcc6216f739/9d1911ba747ed135,2024-07-21,,,,493795,,,,1721545725568658125,,N/A,N/A,,,notice,41.106.128.162,4500,IPsec tunnel statistics,0101037141,,IPsec tunnel statistics,600,,port6,,,445421032,,41.111.161.37,14514,,,526884724,,,Algeria,,,vpn,08:08:45,790370705,N/A,ipsec,event,+0100,192.168.1.122,N/A,root,,DG,N/A,N/A
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721545234148925380,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,2.57.149.109,,,,,,,Russian Federation,,,vpn,08:00:34,0,,ssl,event,+0100,N/A,,root,,,,
ssl-login-fail,,,,2024-07-21,,,N/A,,,,,1721545234148818787,,,N/A,,,alert,,,SSL VPN login fail,0101039426,,SSL user failed to logged in,,,,,,,sslvpn_login_unknown_user,2.57.149.109,,,,,,,Russian Federation,,,vpn,08:00:34,0,,ssl-web,event,+0100,nikolaus.bayer,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721545233730084471,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,2.57.149.109,,,,,,,Russian Federation,,,vpn,08:00:33,0,,ssl,event,+0100,N/A,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721545233336833689,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,2.57.149.109,,,,,,,Russian Federation,,,vpn,08:00:33,0,,ssl,event,+0100,N/A,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721545173238391547,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,2.57.149.109,,,,,,,Russian Federation,,,vpn,07:59:33,0,,ssl,event,+0100,N/A,,root,,,,
ssl-login-fail,,,,2024-07-21,,,N/A,,,,,1721545173238292073,,,N/A,,,alert,,,SSL VPN login fail,0101039426,,SSL user failed to logged in,,,,,,,sslvpn_login_unknown_user,2.57.149.109,,,,,,,Russian Federation,,,vpn,07:59:33,0,,ssl-web,event,+0100,yoshi775,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721545172840252004,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,2.57.149.109,,,,,,,Russian Federation,,,vpn,07:59:33,0,,ssl,event,+0100,N/A,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721545171756440039,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,2.57.149.109,,,,,,,Russian Federation,,,vpn,07:59:31,0,,ssl,event,+0100,N/A,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721545157189490476,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,94.232.47.205,,,,,,,Russian Federation,,,vpn,07:59:17,0,,ssl,event,+0100,N/A,,root,,,,
ssl-login-fail,,,,2024-07-21,,,N/A,,,,,1721545157189382774,,,N/A,,,alert,,,SSL VPN login fail,0101039426,,SSL user failed to logged in,,,,,,,sslvpn_login_unknown_user,94.232.47.205,,,,,,,Russian Federation,,,vpn,07:59:17,0,,ssl-web,event,+0100,health,,root,,,,
